num_registro;categoria;establecimiento;hab;plazas;domicilio;barrio;tel;mail;lon;lat
161;3 estrellas;GRAN HOTEL AILEN;51;102;SUIPACHA 18;SAN NICOLAS;4345-4980 / 4343-2037;reservas@granhotelailen.com.ar;-58.3793;-34.6081
88;3 estrellas;GRAN HOTEL ARGENTINO;143;310;PELLEGRINI 37;SAN NICOLAS;4334-4001 / 02;reservas@hotel-argentino.com.ar;-58.3807;-34.6079
31;3 estrellas;GRAN HOTEL ORLY;168;340;PARAGUAY 474;RETIRO;4312-5344 al 48;reservas@orly.com.ar;-58.3738;-34.5974
194;3 estrellas;HOLIDAY INN EXPRESS;116;197;AV.L.N.ALEM 770;SAN NICOLAS;4311-5200;reservas.arg@talbot.cl;-58.3712;-34.5987
239;3 estrellas;HOTEL DE LAS LUCES;53;83;Alsina 527;MONSERRAT;4343-6776 ;reservas@hoteldelasluces.com.ar;-58.3739;-34.6102
49 A/11;3 estrellas;HOTEL IBIS BUENOS AIRES OBELISCO;168;336;Av. Corrientes 1344;SAN NICOLAS;4370-9300;h6502-re@accor.com;-58.3858;-34.604
14 A/09;3 estrellas;HOTEL DAZZLER LAPRIDA (ex H.ILIOS RECOLETA / ex BLUE TREE);45;90;LAPRIDA 1902;RECOLETA;5199-8399;;-58.4009;-34.5884
22;3 estrellas;HOTEL N´ONTUÉ;50;100;AV. CORRIENTES 3321;BALVANERA;4863-4098 / 99;info@nontuehotel.com.ar ;-58.4121;-34.604
174;3 estrellas;HOWARD JOHNSON INN;40;80;BARTOLOME MITRE 2241;BALVANERA;4952-6010;info@hjcongreso.com;-58.3984;-34.6084
206;3 estrellas;IBIS HOTEL;110;337;HIPOLITO YRIGOYEN 1592;MONSERRAT;5300-5555;h3251@accord.com;-58.3889;-34.6101
190;3 estrellas;IRUN;46;92;SANTIAGO DEL ESTERO 1671;CONSTITUCION;4306-0018;info@hotelirun.com.ar ;-58.3844;-34.6278
133;3 estrellas;LA PERLA HOTEL;61;120;JUJUY 0036;BALVANERA;5218-7737 al 40;ventas@hotellaperla.com.ar;-58.4058;-34.6104
43;3 estrellas;LIBERTY HOTEL;94;190;CORRIENTES 632;SAN NICOLAS;5279-0000;ventas@liberty-hotel.com.ar;-58.3757;-34.6034
77;3 estrellas;LINCOLN HOTEL;86;160;SAN JOSE 1299;CONSTITUCION;4306-4687;;-58.3858;-34.6238
166;3 estrellas;LUEY;71;142;RIVADAVIA 2902;BALVANERA;4862-3873 / 4866-4427;luey@arnet.com.ar ;-58.4078;-34.6103
13;3 estrellas;LYON HOTEL;76;200;RIOBAMBA 251;BALVANERA;4372-0100/09;info@hotel-lyon.com.ar;-58.3936;-34.6063
1;3 estrellas;NORMANDIE HOTEL;59;118;RODRIGUEZ PEÑA 320;SAN NICOLAS;4371-7001 al 06;normandie@hotelnormandie.com.ar;-58.3908;-34.6054
134;3 estrellas;NUEVO HOTEL CALLAO;50;100;AV. CALLAO 292;BALVANERA;4374-4222;info@hotelcallao.com.ar;-58.3923;-34.6058
92;3 estrellas;PARLAMENTO HOTEL;55;83;RODRIGUEZ PEÑA 61;SAN NICOLAS;4374-1410;reservas@hotelparlamento.com.ar;-58.3906;-34.6083
37;3 estrellas;PLAZA FRANCIA ;50;110;SCHIAFFINO PJE 2189;RECOLETA;4807-7400;gdebiase@esplendorplazafrancia.com;-58.3889;-34.5856
28;3 estrellas;PROMENADE HOTEL;61;145;ALVEAR M T 444;RETIRO;4312-5681;info@hotelpromenade.com.ar;-58.3737;-34.5962
111;3 estrellas;ROCHESTER CONCEPT (ex HYDE PARK) ;72;146;MAIPU 572;SAN NICOLAS;4328-3930 / 3943;info@rochester-hotel.com.ar;-58.3768;-34.6015
183;3 estrellas;SARUM;48;96;QUESADA 2370;BELGRANO;4704-0039;reservas@hotelsarum.com.ar;-58.4628;-34.5542
170;3 estrellas;SPLENDID HOTEL;50;107;RIVADAVIA 950;SAN NICOLAS;4345-2800;;-58.3798;-34.6084
51;3 estrellas;TORRE HOTEL;84;176;OLLEROS 4186;CHACARITA;4552-6034 / 6655;hoteltorre@fibertel.com.ar ;-58.4537;-34.5873
04 A/09;3 estrellas;VIASUI;58;117;VIAMONTE 960;SAN NICOLAS;5252-3070 / 71 / 72 / 73;reservas@viasuihotel.com.ar;-58.3806;-34.6002
102;3 estrellas;VICTORY HOTEL;93;190;MAIPU 880;RETIRO;4314-8415 / 5440;info@victoryhotel.com.ar;-58.3769;-34.5979
101;3 estrellas;WALDORF;120;278;PARAGUAY 450;RETIRO;4312-2071 al 78;info@waldorf-hotel.com.ar;-58.3736;-34.5974
176;4 estrellas;AMERIAN Buenos Aires Park;152;304;RECONQUISTA 699;SAN NICOLAS;5171-6500;recepcionrec@amerian.com;-58.3726;-34.5999
199;4 estrellas;ARGENTA TOWER;97;194;JUNCAL 868;RETIRO;4325-4100;ventas@argenta-tower.com.ar;-58.3795;-34.5929
158;4 estrellas;ASPEN TOWERS ;75;204;PARAGUAY 857;RETIRO;4313-1919;xaretino@aspenhotels.com.ar;-58.3792;-34.5977
06 A/09;4 estrellas;AXEL HOTEL ;49;126;VENEZUELA 649;SAN TELMO;4136-9393;buenosaires@axelhotels.com;-58.3754;-34.6138
143;4 estrellas;BAUEN SUITE HOTEL;94;205;CORRIENTES 1856;BALVANERA;4370-0400;sfederico@bauensuite.com;-58.3931;-34.6045
17;4 estrellas;BRISTOL HOTEL;115;215;CERRITO 0286;SAN NICOLAS;4382-5400;reservas@hotelbristol.com.ar;-58.3822;-34.6052
23 A/10;4 estrellas;CAESAR PARK SILVER OBELISCO;74;148;CERRITO 328;SAN NICOLAS;4106-4444;mgonorowsky@parksilverobelisco.com ;-58.3822;-34.6047
155;4 estrellas;CAMBREMON HOTEL;70;137;SUIPACHA 30;SAN NICOLAS;4345-0118 / 7493;reservas@scalabuenosaires.com;-58.3793;-34.6079
96;4 estrellas;CARSSON;91;182;VIAMONTE 650;SAN NICOLAS;4131-3800;deiriz@hotelcarsson.com.ar;-58.3761;-34.5999
90;4 estrellas;CASTELAR;161;362;AV DE MAYO 1152;SAN NICOLAS;4383-5000;amarrone@castelarhotel.com.ar;-58.3827;-34.6092
152;4 estrellas;CONTE HOTEL;118;236;PELLEGRINI 101;SAN NICOLAS;4326-8898 / 4394-8441;administracion@conte-hotel.com;-58.3807;-34.6071
12;4 estrellas;CRILLON;96;204;SANTA FE 796;RETIRO;4310-2000fax/2020;nhcrillon@nh-hotels.com;-58.3783;-34.5952
47 A/11;4 estrellas;DAZZLER TOWER SAN TELMO;70;140;PIEDRAS 303;MONSERRAT;5277-6050;reservas@dazzlersantelmo.com / frontdesk@dazzlersantelmo.com;-58.3777;-34.6118
10 A/09;4 estrellas;DUOMI PLAZA HOTEL;105;451;BARTOLOME MITRE 1480;SAN NICOLAS;6091-3888;generencia@duomi.com.ar;-58.3874;-34.6077
8;4 estrellas;EL CONQUISTADOR;134;268;SUIPACHA 948;RETIRO;4328-3012;mailhotel@elconquistador.com.ar;-58.3799;-34.5971
175;4 estrellas;ELEVAGE BUENOS AIRES HOTEL;103;206;MAIPU 960;RETIRO;4891-8000;;-58.377;-34.5968
89;4 estrellas;FACÓN GRANDE;97;218;RECONQUISTA 645;SAN NICOLAS;4312-6361 / 09;reservas@hotelfacongrande.com;-58.3726;-34.6003
65-A/11;4 estrellas;GALERÍAS HOTEL;44;182;Tucumán 651;SAN NICOLÁS ;4322-1025;recepcion@galeriashotel.com.ar;-58.376;-34.6011
68;4 estrellas;GRAN HOTEL BUENOS AIRES;91;191;ALVEAR M T 769;RETIRO;4312-3003;reservas@granhotelbue.com.ar rnavarro@granhotelbue.com.ar;-58.378;-34.5963
;4 estrellas;HOTEL COLON;183;416;PELLEGRINI 507;SAN NICOLAS;4320-3500;;-58.381;-34.6024
204;4 estrellas;HOTEL MADERO BUENOS AIRES;193;386;ROSARIO VERA PEÑALOZA 360;PUERTO MADERO;5776-7777;info@hotelmadero.com;-58.3623;-34.6175
187;4 estrellas;HOWARD JOHNSON DA VINCI;51;102;TUCUMAN 857;SAN NICOLAS;5031-8002;info@davinci.com.ar;-58.3789;-34.6012
188;4 estrellas;HOWARD JOHNSON PLAZA FLORIDA STREET;77;154;FLORIDA 944;RETIRO;4891-9200;frontdesk@hjflorida.com.ar;-58.3755;-34.5969
60 A/11;4 estrellas;INTERSUR RECOLETA;100;418;CALLAO 1764;RECOLETA;5533-4000;recepcion@intersurrecoleta.com.ar;-58.3894;-34.5894
93;4 estrellas;LAFAYETTE;83;179;RECONQUISTA 546;SAN NICOLAS;4393-9081;gerencia@lafayettehotel.com.ar;-58.3726;-34.6015
168;4 estrellas;LAS NACIONES;312;600;CORRIENTES AV. 818;SAN NICOLAS;5371-3000;lasnaciones@hotellasnaciones.com.ar;-58.3783;-34.6036
69-A/12;4 estrellas;LENNOX;57;170;TALCAHUANO 52;SAN NICOLÁS ;5275-6550;recepcionbue@lennoxhotels.com;-58.3849;-34.6081
238;4 estrellas;MELIA RECOLETA PLAZA BOUTIQUE HOTEL;58;232;Posadas 1557;RECOLETA;5353-4000;front@meliarecoletaplaza.com.ar;-58.3877;-34.5871
68-A/11;4 estrellas;NH 9 DE JULIO;246;545;Cerrito 156;SAN NICOLÁS ;4124-7400;nh9dejulio@nh-hotels.com;-58.3821;-34.6066
196;4 estrellas;NH JOUSTEN;85;162;AV.CORRIENTES 280;SAN NICOLAS;4321-6750;nhjousten@nh-hotels.com ;-58.3709;-34.6031
179;4 estrellas;NH LATINO;101;192;SUIPACHA 309;SAN NICOLAS;4321-6700;nhlatino@nh-hotels.com;-58.3794;-34.6047
20 A/10;4 estrellas;NH LANCASTER;115;267;AV CORDOBA 405;SAN NICOLAS;41316464;nhlancaster@nh-hotels.com;-58.373;-34.5984
6;4 estrellas;NOGARO;140;200;ROCA JULIO A 0562;MONSERRAT;4331-0091;reservas@562nogarohotel.com;-58.3742;-34.6099
48 A/11;4 estrellas;NOVOTEL;129;258;AV.CORRIENTES 1334;SAN NICOLAS;4370-9300 / 9500;h6502-re@accor.com;-58.3858;-34.604
191;4 estrellas;OBELISCO CENTER SUITES;102;204;ROQUE SAENZ PEÑA 991;SAN NICOLAS;4326-0909;info@obeliscohotel.com.ar;-58.3808;-34.6042
164;4 estrellas;PARK CENTRAL UNIQUE (ex KEMPINSKI CENTRAL PARK PLAZA) ;70;140;SAENZ PEÑA ROQUE 1174;SAN NICOLAS;6777-0300;central@hotels-unique.com;-58.3832;-34.603
501;4 estrellas;PARK CHATEAU UNIQUE (ex KEMPINSKI HOTEL PARK CHATEAU);63;126;Talcahuano 1253;RETIRO;6777-0400 Fax: 6777-0430 ;chateau@hotels-unique.com;-58.3859;-34.5938
230;4 estrellas;PARK PLAZA UNIQUE(ex KEMPINSKI HOTEL PARK PLAZA );58;225;Parera 183 ;RETIRO;6777-0200 Fax: 6777-0230 ;park@hotels-unique.com;-58.3851;-34.5907
201;4 estrellas;PESTANA HOTEL;133;266;CARLOS PELLEGRINI 877;RETIRO;5239-1000 / 1100;;-58.3813;-34.5982
125;4 estrellas;POSTA CARRETAS;45;122;ESMERALDA 726;SAN NICOLAS;4322 8567;recepcion@postacarretas.com.ar;-58.3783;-34.5998
4;4 estrellas;PRESIDENTE HOTEL;250;500;CERRITO 846;RETIRO;4816-2222;admin@hotelpresidente.com.ar;-58.3826;-34.5985
29;4 estrellas;PRINCIPADO;96;208;PARAGUAY 481;RETIRO;43182-3912/4313-3022;hotel@principado.com.ar;-58.3738;-34.5974
205;4 estrellas;RECONQUISTA GARDEN ;74;222;ESMERALDA 675;SAN NICOLAS;4830-2200;;-58.3782;-34.6003
25 A/10;4 estrellas;RECONQUISTA LUXOR;72;152;AV. ROQUE SÁENZ PEÑA 890;SAN NICOLAS;43289400;recepcion@reconquistaluxor.com.ar  gerencia@reconquistaluxor.com.ar;-58.3792;-34.605
172;4 estrellas;RECONQUISTA PLAZA HOTEL;60;120;RECONQUISTA 602;SAN NICOLAS;4311-4600;;-58.3726;-34.6007
504;4 estrellas;REINO DEL PLATA;41;112;HIPOLITO YRIGOYEN 647;MONTSERRAT;5272-4000;pobregon@hotelreinodelplata.com.ar;-58.3756;-34.6092
86;4 estrellas;REPUBLICA;209;384;CERRITO 370;SAN NICOLAS;4382-5050;marketing@hotelrepublica.com.ar;-58.3822;-34.6043
107;4 estrellas;ROCHESTER CLASSIC;137;303;ESMERALDA 542;SAN NICOLAS;4326-6076;info@rochester-hotel.com.ar;-58.3782;-34.6018
36;4 estrellas;SALLES HOTEL;80;170;CERRITO 0208;SAN NICOLAS;4382-0090;info@hotelsalles.com.ar;-58.3821;-34.606
21;4 estrellas;SAVOY HOTEL;180;362;CALLAO 181;SAN NICOLAS;4370-8000 / 10;Info@savoyhotel.com.ar;-58.392;-34.607
11;4 estrellas;SHELTOWN HOTEL;68;120;ALVEAR M T 742;RETIRO;4312-5070 / 79;administracion@hotelsheltown.com.ar;-58.3776;-34.5963
503;4 estrellas;VISTA SOL BUENOS AIRES DESIGN HOTEL;82;153;Tucumán 451 ;SAN NICOLAS;5273 2500;recepcionbue@vistasolhotels.com ;-58.3733;-34.6009
35 A/10;5 estrellas;725 CONTINENTAL HOTEL;192;652;AV. ROQUE SÁENZ PEÑA 725;SAN NICOLAS;41318000;reservas@725continental.com;-58.3771;-34.606
195;5 estrellas;ABASTO PLAZA HOTEL BUENOS AIRES   ;126;252;AV.CORRIENTES 3190;BALVANERA;6311-4466;info@abastohotel.com gerenciageneral@abastohotel.com;-58.4101;-34.6041
151;5 estrellas;ALVEAR PALACE HOTEL;200;405;ALVEAR AV 1891;RECOLETA;4808-2100;info@alvearpalace.com nsalvagno@alvear.com.ar;-58.389;-34.5877
149;5 estrellas;CAESAR PARK BUENOS AIRES;173;346;POSADAS 1232;RETIRO;4819-1100;h8932-gm@accor.com h8932-dm@accor.com;-58.3841;-34.5894
94;5 estrellas;CLARIDGE HOTEL;161;326;TUCUMAN 535;SAN NICOLAS;4314-7700 / 2020;reservas@claridge.com.ar ;-58.3745;-34.601
197;5 estrellas;EMPERADOR BUENOS AIRES;270;540;AV. DEL LIBERTADOR 420;RETIRO;4131-4000/3000;mlucas@hotel-emperador.com.ar ventas@hotel-emperador.com.ar;-58.3799;-34.59
167;5 estrellas;FEIR'S PARK ALL SUITES HOTEL;111;222;ESMERALDA 1366;RETIRO;4327-1900;reservas@feirspark.com.ar;-58.3783;-34.5918
181;5 estrellas;HILTON;421;842;MACACHA GUEMES 351;PTO MADERO;4891-0000;paula.viacava@hilton.com;-58.3636;-34.6052
105;5 estrellas;MARRIOTT PLAZA HOTEL;320;640;FLORIDA 1005;RETIRO;4318-3000;paula.carracedo@marriotthotels.com;-58.3751;-34.5958
173;5 estrellas;MELIA BUENOS AIRES;125;250;RECONQUISTA 0945;RETIRO;4891-3800;info@meliabuenosaires.com.ar;-58.373;-34.597
110;5 estrellas;PANAMERICANO HOTEL & RESORT BS.AS.;200;430;PELLEGRINI 551;SAN NICOLAS;4348-5000/ fax. 4348-5250/51;marketing@panamericano.us;-58.381;-34.602
207;5 estrellas;REGAL PACIFIC;110;337;25 DE MAYO 758;SAN NICOLAS;4310-7000;ftrevisan@regalpacific.com.ar;-58.3715;-34.599
87;5 estrellas;SHERATON LIBERTADOR BUENOS AIRES;203;406;CORDOBA 660 ;SAN NICOLAS;4321-0000;guest.service.1195@sheraton.com;-58.3765;-34.5989
5024;APART;ANCHORENA APART HOTEL;25;50;ANCHORENA 1121;RECOLETA;4961-8548 / 9445;contacto@anchorenasw.com;-58.4071;-34.5964
5009;APART;APART GARTEN VILLAGE;26;50;SUIPACHA 250;SAN NICOLAS;4326-0163 / 7879 / 8737;hotelvillagegarden@hotmail.com;-58.3794;-34.6055
5017;APART;APART RECOLETA AR;160;320;GUIDO 1948;RECOLETA;4801-8003;hotel@apartrecoleta.com.ar;-58.3915;-34.5888
5014;APART;APART TRES REYES;20;40;SAENZ PEÑA L.294;MONSERRAT;4383-1238;info@aparthoteltresreyes.com;-58.3875;-34.6122
5023;APART;BROADWAY ALL SUITES APPART HOTEL BS AS;66;148;CORRIENTES 1173;SAN NICOLAS;4378-9250;ventas@broadway-suites.com.ar;-58.3832;-34.6037
5020;APART;CABILDO SUITES CLUB & SPA;54;108;CABILDO 1950;BELGRANO;4780-1900;cabildostventas@orho-hoteles.com.ar;-58.4556;-34.5635
5007;APART;CATALINAS SUITES;60;178;TUCUMAN 313;SAN NICOLAS;4314-1400;reservas@suitescatalinas.com.ar;-58.3714;-34.6007
5008;APART;DAZZLER SUITES ARROYO;78;156;SUIPACHA 1359;RETIRO;4325-4545/8200;recepcion@arroyotowers.com;-58.3801;-34.5919
5022;APART;DESIGNS SUITES;41;82;M.T ALVEAR 1683;RECOLETA;4814-8700 /Rvas. 45908540;lhasler@desingsuites.com;-58.3913;-34.5972
5027;APART;FIAMINGO APART HOTEL;20;48;TALCAHUANO 120;SAN NICOLAS;4374-4400;reservas@fiamingoapart.com.ar;-58.385;-34.6073
5011;APART;GEORGE GRUKI;22;88;MENDOZA 4569;VILLA URQUIZA;4544-8854 / 8904 /6055 / 6105;mendoza4569@hotmail.com ;-58.4785;-34.5735
5029;APART;LOISUITES ARENALES;76;193;ARENALES 855;RETIRO;4324-9400;mclonghi@loisuites.com.ar;-58.3793;-34.5941
5028;APART;LOISUITES ESMERALDA;101;381;ALVEAR M.T. 842;RETIRO;4131 6800;reservas@loisuites.com.ar;-58.3791;-34.5965
5009;APART;PLAZA SAN MARTIN SUITES;58;116;SUIPACHA 1092;RETIRO;4328-4740/41;recepcion@plazasanmartin.com;-58.38;-34.5955
5010;APART;TRIANON RESIDENCE;51;102;CALLAO 1869;RECOLETA;4811-3601 / 5403 / 9789;recepcion@trianon.com.ar;-58.3884;-34.5887
5019;APART;VIAMONTE BUENOS AIRES APART;43;86;VIAMONTE 1373;SAN NICOLAS;4371-9993 / 7099 / 2022;info@hotelviamonte.com.ar ;-58.3863;-34.6005
5030;APART 1 estrellas;BENCO APART HOTEL;26;52;YRIGOYEN H. 1534;MONSERRAT;4373-7207 / 08;bencoaparthotel@yahoo.com.ar;-58.3881;-34.6101
5036;APART 1 estrellas;ORO APPART;22;38;F J S M DE ORO 2706;PALERMO;4899-0230/ 0264;reservas@oroaparthotel.com.ar ;-58.4225;-34.5772
5040;APART 2 estrellas;AMERIAN CONGRESO;90;302;Bartolomé Mitre 1744;SAN NICOLAS;5032-5200;;-58.3914;-34.608
5034;APART 2 estrellas;APART HOTEL CONGRESO;40;97;Bartolomé Mitre 1824;BALVANERA;4954-8410;info@apartcongreso.com.ar;-58.3925;-34.608
5037;APART 2 estrellas;APART SOHO ALL SUITES;21;46;Honduras 4762;PALERMO;4832-3000;;-58.4278;-34.5903
5031;APART 2 estrellas;CRYSTAL SUITES;25;50;URUGUAY 820;RECOLETA;5811-4169/70/73;info@crystal-suites.com ;-58.3869;-34.599
5001;APART 2 estrellas;EMBASSY  ALL SUITES;65;150;CORDOBA 860;SAN NICOLAS;4322-1228 / 1823 / 3930 / 4742;embassy@fibertel.com.ar ;-58.3791;-34.599
18 A/09;APART 2 estrellas;ESPACIA SUITES;24;112;AMENABAR 1135;BELGRANO;4786-8687;info@espaciasuites.com;-58.4501;-34.5702
51 A/11;APART 2 estrellas;ÍCARO SUITES;62;146;MONTEVIDEO 229;SAN NICOLAS;43729000;aferder@icarosuites.com;-58.3893;-34.6063
59 A/11;APART 2 estrellas;INTERSUR SUITES;88;251;CORRIENTES 1984;BALVANERA;52461500;reservas@intersursuites.com.ar;-58.395;-34.6046
74-A/12;APART 2 estrellas;KER URQUIZA HOTEL & SUITES;38;89;DÍAZ COLODRERO 2513;VILLA URQUIZA;55556500;sheilaaltmark@kerhoteles.com.ar;-58.4862;-34.5728
32 A/10;APART 2 estrellas;MAYFLOWER;46;92;PARANA 720;RECOLETA;5238-0050;reservas@mayflowersuites.com.ar;-58.3882;-34.6003
21 A/10;APART 2 estrellas;OLMO DORADO;35;78;SAAVEDRA 484;BALVANERA;4308-6555 Int. 222;info@hotelolmodorado.com.ar ;-58.4029;-34.6153
16 A/09;APART 2 estrellas;THE GLU HOTEL;11;46;GODOY CRUZ 1733;PALERMO;4831-4646;info@thegluhotel.com ;-58.4335;-34.5873
22 A/10;APART 2 estrellas;TORRECILLAS SOHO;12;28;GODOY CRUZ 1655;PALERMO;4833-4303;;-58.4343;-34.5878
5012;APART 2 estrellas;ULISES RECOLETA;25;64;AYACUCHO 2016;RECOLETA;4804-4571 / 72 / 0734 / 0737;info@ulisesrecoleta.com.ar;-58.389;-34.5874
5041;APART 2 estrellas;URBAN SUITES RECOLETA;35;70;JUNIN 1727;RECOLETA;4803-2300;info@urbanrecoleta.com;-58.3927;-34.589
12 A/09;APART 2 estrellas;URBANICA SUITES;25;50;MONTAÑESES 2585;BELGRANO;4787-3003;info@urbanicasuites.com.ar;-58.4526;-34.553
17 A/09;APART 2 estrellas;VITRUM HOTEL ;14;52;GORRITI 5641;PALERMO;4776-5030;info@vitrumhotel.com;-58.4376;-34.5846
5039;APART 3 estrellas;ASPEN SUITES;149;683;ESMERALDA 933;RETIRO;4313-9011;reservation@aspensuites.com.ar;-58.3784;-34.5972
5032;APART 3 estrellas;DESING CE;28;56;M.T. De Alvear 1695;RECOLETA;5237 3100;gerencia@designce.com;-58.3916;-34.5972
5002;APART 3 estrellas;L'ETOILE;100;200;ORTIZ ROBERTO 1835;RECOLETA;4805-2626;murraco@etoile.com.ar;-58.3913;-34.5882
5038;APART 3 estrellas;TRIBECA;32;90;B.MITRE 1265;SAN NICOLAS;4372-5444;info@hoteltribeca.com.ar;-58.3845;-34.6075
295;Hosp. A;ACUARIO;21;45;GASCON 0553;ALMAGRO;4861-0213;;-58.4244;-34.6053
280;Hosp. A;AGUIRRE;23;52;AGUIRRE 1041;VILLA CRESPO;4772-7464;;-58.44;-34.5929
221;Hosp. A;ALBA;27;53;GARAY 1381;CONSTITUCION;4306-4304;albahoteleria@yahoo.com.ar;-58.3855;-34.6271
815;Hosp. A;ALDEANO I;43;86;LA RIOJA 0277;BALVANERA;4931-2980;aldeano1@hotelaldeano.com.ar;-58.4087;-34.6136
240;Hosp. A;ALSINA;37;82;24 DE NOVIEMBRE 0190;BALVANERA;4931-9393;;-58.4114;-34.6129
275;Hosp. A;AMERICA;39;78;IRIGOYEN BERNARDO 1608;CONSTITUCION;4307-9671;info@granhotelamerica.com.ar;-58.3783;-34.6277
270;Hosp. A;ARENAL;20;40;CONCEPCION ARENAL 2507;PALERMO;4771-7082;;-58.4385;-34.5754
284;Hosp. A;ARIES;22;48;GASCON 1147;PALERMO;4863-1232;info@arieshotel.com.ar;-58.4232;-34.5972
818;Hosp. A;ARISTON;30;42;AZCUENAGA 1657;RECOLETA;4805-7544;;-58.397;-34.59
232;Hosp. A;ART HOTEL (ex CARLOS V);48;81;AZCUENAGA 1268;RECOLETA;4824-9105;info@arthotel.com.ar;-58.3993;-34.5936
278;Hosp. A;ASTOR;32;70;CASEROS 0896;CONSTITUCION;4307-7117 4361-4896;info@astorhoteles.com.ar;-58.3764;-34.6278
257;Hosp. A;ATLAS;23;43;CIUDAD DE LA PAZ 1868;BELGRANO;4783-7821;;-58.4558;-34.5649
258;Hosp. A;AUTOPISTA;29;41;SALTA 1446;CONSTITUCION;4305-0186;;-58.3829;-34.6252
228;Hosp. A;AYRES PORTEÑOS;28;87;PERU 708;SAN TELMO;4300-7314;info@ayresportenos.com.ar;-58.3745;-34.6162
219;Hosp. A;AZUL;28;64;YRIGOYEN HIPOLITO 2952;BALVANERA;4931-1153;hazul.bsas@gmail.com;-58.4081;-34.6115
812;Hosp. A;BAHIA;28;60;SANTIAGO DEL ESTERO 1691;CONSTITUCION;4304-5310;DAR DE BAJA;-58.3844;-34.628
211;Hosp. A;BAHIA;15;33;YRIGOYEN HIPOLITO 3062;BALVANERA;4931-7198;info@elhotelbahia.com.ar;-58.4097;-34.6115
289;Hosp. A;BELLOTA (ex SAA);22;44;GODOY CRUZ 2821;PALERMO;4773-3088;;-58.4241;-34.5775
283;Hosp. A;BOULEVARD;57;120;INDEPENDENCIA 2963;BALVANERA;4931-9929;;-58.4073;-34.6195
294;Hosp. A;BRASIL;40;56;BRASIL 1340;CONSTITUCION;4304-5441;;-58.385;-34.6283
33 A/10;Hosp. A;CAHUEL BS AS HOTEL;13;25;PRINGLES 1264;ALMAGRO;4865-4314;info@hotelcahuel.com.ar;-58.4264;-34.5972
290;Hosp. A;CAPRI;22;44;CONSTITUCION 1881;SAN CRISTOBAL;4304-0305;;-58.3923;-34.6252
19 A/10;Hosp A;CASERON PORTEÑO;11;28;CIUDAD DE LA PAZ 344;COLEGIALES;4554-6336;info@caseronporteno.com;-58.442;-34.5742
239;Hosp. A;CARLOS I;27;63;CALVO CARLOS 1463;CONSTITUCION;4305-3700;cristianlanni@hotmail.com;-58.3868;-34.6199
830;Hosp A;CARLOS VIA HOTEL;9;25;LAVALLE 3119;BALVANERA;4864-2032;info@socohotels.com;-58.4101;-34.6024
822;Hosp. A;CASABLANCA;46;105;SANTIAGO DEL ESTERO 1685;CONSTITUCION;4305-4048;cristinanovas@ciudad.com.ar hotelcasablanca@ciudad.com.ar;-58.3844;-34.628
293;Hosp. A;CENTRAL;50;61;BRASIL 1327;CONSTITUCION;4304-3783;;-58.3848;-34.6282
223;Hosp. A;CENTRAL ARGENTINO;44;71;DEL LIBERTADOR 0174;RETIRO;4312-6742;hotelcentralargentino@yahoo.com.ar;-58.3763;-34.5923
247;Hosp. A;CIBELES;24;48;VIRREY CEVALLOS 0264;MONSERRAT;4373-1444;hotelcibeles@hotmail.com.ar;-58.3889;-34.612
823;Hosp. A;COLONIAL;25;45;24 DE NOVIEMBRE 0229;BALVANERA;4931-3104;info@hotelcolonialbaires.com.ar;-58.4114;-34.6135
214;Hosp. A;COSTA AZUL;28;59;ALBERDI 3327;FLORESTA;4612-5983;donixs@yahoo.com;-58.4737;-34.6349
298;Hosp. A;DARIMAR;10;20;BELGRANO 1408;MONSERRAT;4381-8826;;-58.3863;-34.6135
251;Hosp. A;ESQUEL;44;96;BRASIL 1391;CONSTITUCION;4305-6362;;-58.3855;-34.6284
208;Hosp. A;EUROPA;36;86;MITRE  BARTOLOME  1294;SAN NICOLAS;4384-8360;info@eurohotel.com.ar;-58.3848;-34.6076
809;Hosp. A;GALICIA;26;42;YRIGOYEN HIPOLITO 3072;BALVANERA;4931-7270;;-58.4098;-34.6115
227;Hosp. A;GRAN HOTEL ESPAÑA;47;92;TACUARI 0080;MONSERRAT;4343-5541;;-58.3791;-34.6092
241;Hosp. A;GRAN NORTE;33;66;MANSILLA 2915;RECOLETA;4821-1962;;-58.4082;-34.5948
206;Hosp. A;GRAN REAL;25;68;RIOBAMBA 0231;BALVANERA;4374-3526/ 4372-9500;reservas@real-hotel.com.ar;-58.3936;-34.6065
245;Hosp. A;HELEN;20;40;CONDARCO 0552;FLORES;4671-3072;;-58.4692;-34.6249
265;Hosp. A;HERCULES;14;29;COCHABAMBA 1260;CONSTITUCION;4304-8306;;-58.3839;-34.624
264;Hosp. A;HERCULES 78;18;54;COCHABAMBA 1236 ;CONSTITUCION;4304-6490/6306;;-58.3835;-34.624
263;Hosp. A;HISPANO ;26;50;JUNCAL 2282;RECOLETA;4821-2770 / 2756 / 6437; info@juncalpalacehotel.com.ar;-58.3997;-34.5922
225;Hosp. A;IBERIA;20;42;CIUDADELA 1272;CONSTITUCION;4305-7061;raquelgarciablanco@hotmail.com;-58.3839;-34.6275
802;Hosp. A;JADE;24;60;SANCHEZ DE BUSTAMANTE 0839;ALMAGRO;4863-8711;;-58.4138;-34.6007
